Collection_Sample,gDNA_Sample,Babesia_sp,Babesia_sp_Coco,Babesia_odocoieli,Borrelia_lonestari,Cryptoplasma_sp,Cytauxozoon_felis,Ehrlichia_chaffeensis,Ehrlichia_ewingii,Ehrlichia_sp_PanolaMountain,Hepatozoon_sp_A,Hepatozoon_sp_B,Rickettsia_amblyommatis,Rickettsia_andeanae,Rickettsia_parkeri,Rickettsia_rhiphicephali,Rickettsia_sp_Iaff,Rickettsia_sp_Iscap,Theileria_cervi
AA1713,AduAA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1261,AduAA45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1645,AduAA46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA155,AduAA47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA157,AduAA48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA230,AduAA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA556,AduAA50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA557,AduAA51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA631,AduAA52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA632,AduAA53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA633,AduAA54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA634,AduAA55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA635,AduAA56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA990,AduAA57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA991,AduAA58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1262,AduAA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1263,AduAA60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1264,AduAA61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1265,AduAA62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1266,AduAA63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1267,AduAA64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1268,AduAA65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1269,AduAA66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1270,AduAA67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1502,AduAA68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1503,AduAA69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1504,AduAA70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1505,AduAA71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1506,AduAA72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1507,AduAA73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1661,AduAA74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1662,AduAA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA2,AduAA76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA306,AduAA77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA307,AduAA78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA308,AduAA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA309,AduAA80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA351,AduAA81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
